母音動詞	vowel verb
子音動詞カ行	consonant-k verb
子音動詞カ行促音便形	consonant-k genimate verb
子音動詞ガ行	consonant-g verb
子音動詞サ行	consonant-s verb
子音動詞タ行	consonant-t verb
子音動詞ナ行	consonant-n verb
子音動詞バ行	consonant-b verb
子音動詞マ行	consonant-m verb
子音動詞ラ行	consonant-r verb
子音動詞ラ行イ形	consonant-r i-form verb
子音動詞ワ行	consonant-w verb
子音動詞ワ行文語音便形	consonant-w literary-euphonic verb
カ変動詞	kahen verb
カ変動詞来	kahen verb-kanji
サ変動詞	sahen verb
ザ変動詞	zahen verb
イ形容詞アウオ段
イ形容詞イ段
イ形容詞イ段特殊
ナ形容詞	na-adjective
ナ形容詞特殊	na-adjective-irregular
ナノ形容詞	nano-adjective
タル形容詞	taru-adjective
判定詞	copula
無活用型	inflectionless
助動詞ぬ型	auxiliary verb type-nu
助動詞だろう型	auxiliary verb type-darou
助動詞そうだ型	auxiliary verb type-souda
助動詞く型	auxiliary verb type-ku
動詞性接尾辞ます型	verbal suffix type-masu
動詞性接尾辞うる型	verbal suffix type-uru
動詞性接尾辞得る型	verbal suffix type-uru-kanji
