一	一: one, one radical (no. 1)	one	One down, 2041 to go. ;).	"To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar."
二	二: two, two radical (no. 7)	two	Two lines.	Roman numeral II, written on its side.
三	一: one; one radical (no.1)<br>一: one; one radical (no.1)<br>一: one; one radical (no.1)	three	One + two = three.	THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.
四	囗: box or enclosure radical (no. 31); box<br>八: eight; eight radical (no. 12)	four	FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.	I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?
五	二: two; two radical (no.2)	five	三 + two vertical lines = 5.	"This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5."
六	亠: kettle lid radical (no. 8)<br>八: eight; eight radical (no. 12)	six	Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.	Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.
七	一: one; one radical (no.1)<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5)	seven	This kanji is our good old seven, turned upside down.	I wrote it upside down so I crossed it out.
八	八: eight, eight radical (no. 12)	eight	"Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character."	The valcano hasn´t erupted for 8 years.
九	丿: katakana no radical (no. 4)<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5)	nine	Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.	Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.
十	十: ten, ten radical (no. 24)	ten	Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).	I scared away ten vampires with a single cross!
百	一: one; one radical (no.1)<br>白: white	hundred	100 turned sideways. {sort of the same as what ashoksaraf said}.	That dirty ceiling was painted WHITE a hundred times!
千	丿: katakana no radical (no. 4)<br>十: ten	thousand	It takes many drops of ten to get to a thousand.	One T = one thousand.
上	卜: divination<br>一: one; one radical (no.1)	above	A magic wand standing on above the floor.	Above all else, be grounded if you are going to practice augury (#2103)卜. You could turn yourself into a トoad...
下	一: one; one radical (no.1)<br>卜: divination	below	Roots are below the ground.	A magic wand hanging below the ceiling.
左	工: craft; construction; katakana e radical (no. 48)	left	The LEFT side of my brain posesses the faculties needed for logical crafts, like engineering.	The left side of my brain, is for crafts.
右	口: mouth	right	The right hand is for putting food in your mouth. (The other hand is for ass-wiping!).	Always keep your right to free speech (mouth) by your side!
中	口: mouth<br>丨: number one; line; rod radical (no. 2)	in	Pocky goes in the mouth.	My GF lets me come in her mouth (pictogram).
大	大: big, big radical (no. 37)	large	A person stretching their arms and legs to look large and scare a bear away.	Think of a large St. Bernard dog with his paws all stretched out.
小	小: small, insignificant, small radical (no. 42)	little	A little penguin with its wings at its side.	A depressed child, head low and arms hung low, because he´s too little to ride the roller coaster.
月	月: moon, month, moon radical (no. 74)	month	A month is longer than a day.	"Am I the only one who sees this as someone sticking their ass in the air ""mooning"" someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of month, considering that months were traditionally measured by the phases of the moon. Also, the mooning ""ass"" part of it connects well to Hesig´s seemingly unconnected ""flesh"" or ""part of the body"" meaning (when used in primitive form)."
日	日: sun, day, sun radical (no. 72)	day	Open the window, new day.	Picture two halves of a 24-hr period: Day & Night.
年	丿: katakana no radical (no. 4)<br>干: dry; parch	year	A horse wears a pair of sunglasses with one lens popped out after a particularly raucous celebration to ring in the New Year.	A horse wears a monocle for New Years to appear dignified for the year of the horse. ――one lens = monocle, you will encounter this again in kanji like descend (#1308).
早	日: day; sun; Japan; counter for days<br>十: ten	early	The sun up is early, well before ten.	An early sun-flower looks like a miniature sun perched on a needlelike stems.
木	木: tree, tree radical (no. 75)	tree	If you need a story for a tree, then you need to be hit by one.	Pictograph of a tree.
林	木: tree; wood<br>木: tree; wood	grove	A grove has at least two TREEs.	Two tree huggers saying that protecting the environment is grovey man...
山	山: mountain, mountain radical (no. 46)	mountain	Pictograph, see book. * As a primitive this element appears equally as well at the top or bottom of the kanjis (besides appearing to the left). Since a mountain often brings to mind towering peaks, I will consider it implied that the element is placed at the top of the kanji. When this primitive appears at the bottom, I will arrange my story in a way that other elements are said to be at the very top of the mountain (see FRAME 775 for an example).	YOU CAN´T POSSIBLY NEED A MNEMONIC FOR THIS!!!!
川	巛: river, river radical (no. 47)	stream	So as not to confuse this with river (#146) think of streamers falling down.	There are three default I/O Streams in UNIX, stdin, stdout, and stderr.
土	土: earth, earth radical (no. 32)	soil	Remembering soil is easy. If soil is soft, you can take a walking stick and plunge it two* feet into the ground.	King Arthur pulled the magical sword Excalibur out of the hardened soil to claim his place as king.
空	穴: hole; aperture; slit; cave; den<br>工: craft; construction; katakana e radical (no. 48)	empty	The craft of creating a black hole is in creating an emptiness which can attract things.	Hole-craft is the way of making empty spaces, like the sky.
田	田: field, field radical (no. 102)	rice field	A rice field divided into four parts.	Ten people use their mouths to eat the yield of the rice fields.
天	一: one; one radical (no.1)<br>大: large; big	heavens	If you think of the sky as a ceiling above our heads, here you have the heavens as the largest ceiling you could ever imagine. As Heisig pointed out, nothing comes above the ceiling primitive thus the order of primitives is taken care of.	The ceiling that all large dogs aspire to go to is known as heaven. After all, All Dogs Go to Heaven.
生	生: life, life radical (no. 100)	life	This is the first CELL of a human, the foundation of its entire LIFE, a small DROP that will GROW UP to form a complex organism.	Growing Up is just a Drop of our LIFE.
花	艸: grass; plants; grass radical (no. 140)<br>化: change; take the form of; influence; enchant; delude; -ization	flower	The flowers change with the seasons.	The flower is the essence of transience. So, the conceptual flower involves both the concept of flower plus change.
草	艸: grass; plants; grass radical (no. 140)<br>早: early; fast	grass	Grass grows in earlier than flowers.	This grass is very long. The only flowers you can see are sunflowers – the rest are hidden by the grass.
虫	中: in; inside; middle; mean; center	insect	I see the bottom of this kanji as an arm, and the top is an insect biting into the arm, sucking some blood.	Insect in one drop of amber. Think Jurassic Park.
犬	大: large; big<br>丶: dot; tick or dot radical (no. 3)	dog	A large dog, dripping drool.	If we remember large (#107) as a man with his arms outstretched, the drop represents man´s best friend - a dog.
人	人: human, human radical (no. 9)	person	"Behold Mister T (of ""A-Team"" fame)! I chose Mr.T because he´s sure to make amusing stories. He is a very versatile character since he´s both the big, tough guy and the “moralistic” person, telling kids not “to do drugs or alcohol”. He is easy to imagine, the heavy gold chains are probably the most prominent feature of the character. And last but not least you can always pepper your story with the famous line “I pity da foo!” * Fittingly, on the left side of the kanji, it looks like a “T”."	[I appreciate some people´s occasional habit of using P for person in shared stories. That makes it easier to substitute Mr. T, Captain Picard, or whomever else a student is using as person.].
名	夕: evening<br>口: mouth	name	In the evening, when it becomes dark, open your mouth to say your name so that people can recognise you.	In the evening, her sweet mouth whispered my name.
女	女: woman, female, female radical (no. 38)	woman	"To remember the order of strokes, remember a female ninja is called a ""kunoichi"". That is, く(hiragana) ノ(katakana) 一(kanji, ichi=one)."	My mother taught me that a woman should always sit with her legs crossed (but the arms can be stretched out).
男	田: rice field; rice paddy<br>力: power; strength; strong; strain; bear up; exert	male	Male is seen here as muscles working in the field, in other words working in the rice fields is the work of the male who are usually stronger. This is more or less the meaning of the original Chinese character.	When it comes to choosing a MAN, I prefer brains over muscles.
子	子: child, seed, child radical (no. 39)	child	A child who is ten will still ask for his ma (top looks a bit like katakana ma).	A pictograph of a child, with arms outstretched for mother (or perhaps because she is chasing a rat?). Note that this kanji occupies the first space on the Zodiac circle, and is the sign for the rat (such as 2008!).
目	目: eye, eye radical (no. 109)	eye	There are 3 sections. Imagine the outer two being the whites of your eye. The middle is the pupil. Fill it in with imaginary color.	目_目.
耳	耳: ear, ear radical (no. 128)	ear	Your ear is like the eye on the side of your head for seeing things, but there is hair around it that creates jagged lines.	Pictograph, see book. * The primitive meaning can easily be extended to ear plugs.
口	口: mouth, opening, mouth radical (no. 30)	mouth	Looks like a huge open mouth.	"Momma used to say: ""Keep your trap shut!"" This thing is shaped like a trap door."
手	手: hand, hand radical (no. 64)	hand	This pictograph actually really works if you look at it as a hand with fingers spread and middle finger pointing down. see the very top stroke as the edge of a shirt cuff, and it will all come together.	A hand is useful for 千一(1001) things.
