普通名詞	common noun
サ変名詞	sahen noun
固有名詞	proper noun
地名	place name
人名	person name
組織名	organization name
数詞	numeral
形式名詞	formal noun
副詞的名詞	adverbial noun
時相名詞	temporal noun
名詞形態指示詞	nominal demonstrative
連体詞形態指示詞	prenominal-adjectival demonstrative
副詞形態指示詞	adverbial demonstrative
格助詞	case particle
副助詞	adverbial particle
接続助詞	conjunctive particle
終助詞	final particle
名詞接頭辞	nominal prefix
動詞接頭辞	verbal prefix
イ形容詞接頭辞	i-adjectival prefix
ナ形容詞接頭辞	na-adjectival prefix
名詞性述語接尾辞	nominal predicate suffix
名詞性名詞接尾辞	nominal noun suffix
名詞性名詞助数辞	nominal noun numerative
名詞性特殊接尾辞	nominal special suffix
形容詞性述語接尾辞	adjectival predicate suffix
形容詞性名詞接尾辞	adjectival noun suffix
動詞性接尾辞	verbal suffix
句点	period
読点	comma
括弧始	open parenthesis
括弧終	closed parenthesis
記号	sign
空白	white space
その他	other
カタカナ	katakana
アルファベット	alphabet
